# Pharos pharos.watch | Endpoint: peg-mechanism-distribution | As of: 2026-05-16T21:20:16.676Z | URL: https://pharos.watch/datasets/peg-mechanism-distribution/latest.csv | Methodology: safety-score v7.25 | Freshness: point-in-time sample; not guaranteed to track production freshness
mechanismArchetype,mechanismLabel,pegReferenceId,jurisdiction,coinCount
tbill,Tokenized Treasury,frxusd-frax,unknown,1
tbill,Tokenized Treasury,unknown,UAE,1
synthetic-delta-neutral,Delta-Neutral,avusd-avant,unknown,1
unknown,Unknown,unknown,Kyrgyz Republic,1
fiat-cash,Fiat-Backed,unknown,Antigua and Barbuda,1
algorithmic,Algorithmic,unknown,United States,1
synthetic-delta-neutral,Delta-Neutral,unknown,Singapore,1
tbill,Tokenized Treasury,usdo-openeden,unknown,1
fiat-cash,Fiat-Backed,unknown,Luxembourg,1
cdp,CDP,unknown,El Salvador,1
synthetic-delta-neutral,Delta-Neutral,yusd-aegis,unknown,1
cdp,CDP,unknown,Australia,1
cdp,CDP,fxusd-f-x-protocol,unknown,1
synthetic-delta-neutral,Delta-Neutral,usn-noon,unknown,1
cdp,CDP,unknown,Croatia,1
unknown,Unknown,yzusd-yuzu,unknown,1
tbill,Tokenized Treasury,unknown,Union of Comoros,1
cdp,CDP,unknown,Germany,1
unknown,Unknown,msusd-main-street,unknown,1
fiat-cash,Fiat-Backed,unknown,Norway,1
tbill,Tokenized Treasury,unknown,Germany,1
synthetic-delta-neutral,Delta-Neutral,unknown,France,1
unknown,Unknown,unknown,France,1
tbill,Tokenized Treasury,unknown,Panama,1
fiat-cash,Fiat-Backed,unknown,Kazakhstan,1
unknown,Unknown,unknown,El Salvador,1
unknown,Unknown,unknown,Liechtenstein,1
unknown,Unknown,unknown,United Arab Emirates,1
fiat-cash,Fiat-Backed,unknown,Finland,1
fiat-cash,Fiat-Backed,unknown,South Africa,1
cdp,CDP,unknown,Singapore,1
tbill,Tokenized Treasury,unknown,Mexico,1
algorithmic,Algorithmic,zsd-zephyr-protocol,unknown,1
unknown,Unknown,aid-gaib,unknown,1
unknown,Unknown,apxusd-apyx,unknown,1
fiat-cash,Fiat-Backed,unknown,Sweden,1
fiat-cash,Fiat-Backed,unknown,Nigeria,1
fiat-cash,Fiat-Backed,unknown,Argentina,1
fiat-cash,Fiat-Backed,unknown,Chile,1
fiat-cash,Fiat-Backed,unknown,Colombia,1
fiat-cash,Fiat-Backed,unknown,Peru,1
fiat-cash,Fiat-Backed,unknown,Malaysia,1
fiat-cash,Fiat-Backed,unknown,Vietnam,1
fiat-cash,Fiat-Backed,unknown,India,1
fiat-cash,Fiat-Backed,unknown,Cyprus / Lithuania,1
